ImagePair,MeanTargetSaliency,MaxTargetSaliency,SDTargetSaliency,MeanDistractorSaliency,MaxDistractorSaliency,SDDistractorSaliency,MeanSaliencyDiff
948_1064,0.4856,1,0.2009,0.3118,0.6017,0.1477,0.1738
947_1063,0.5509,1,0.2188,0.4938,0.8715,0.2173,0.0571
949_1065,0.4157,0.9013,0.1977,0.3684,1,0.2539,0.0473
945_1067,0.3651,0.5927,0.1167,0.5518,1,0.2187,-0.1867
944_1066,0.5067,1,0.2095,0.4409,0.8014,0.1845,0.0658
946_1068,0.4755,1,0.2021,0.3038,0.6005,0.1406,0.1717
964_1033,0.2407,0.4689,0.1128,0.4476,1,0.2696,-0.2069
963_1032,0.2732,0.6152,0.1506,0.401,1,0.2148,-0.1278
965_1034,0.3141,1,0.2537,0.244,0.4789,0.0971,0.0701
962_1037,0.2455,1,0.2234,0.2331,0.3747,0.0783,0.0124
961_1036,0.2993,1,0.2494,0.2326,0.4661,0.0937,0.0667
960_1035,0.2617,0.6594,0.1547,0.3831,1,0.2145,-0.1214
937_1006,0.5907,1,0.247,0.4514,0.9996,0.2267,0.1393
936_1005,0.5811,1,0.2458,0.3456,0.6921,0.1425,0.2355
935_1004,0.4565,0.9933,0.2159,0.5212,1,0.2181,-0.0647
932_1007,0.4894,1,0.2125,0.5519,0.9912,0.2356,-0.0625
934_1009,0.5811,1,0.2458,0.3456,0.6921,0.1425,0.2355
933_1008,0.3018,0.5509,0.1375,0.4818,1,0.238,-0.18
977_989,0.5005,0.8575,0.1806,0.5668,1,0.2231,-0.0663
976_988,0.6745,0.9828,0.1787,0.628,1,0.2109,0.0465
978_990,0.517,1,0.1875,0.339,0.75,0.1548,0.178
974_992,0.7023,1,0.1695,0.5887,0.9216,0.1799,0.1136
975_993,0.5486,0.9341,0.1973,0.5982,1,0.2209,-0.0496
973_991,0.646,0.9482,0.1727,0.6148,1,0.2231,0.0312
1200_1209,0.3658,1,0.2316,0.2233,0.8937,0.1674,0.1425
1201_1206,0.1951,1,0.1951,0.1836,0.808,0.1583,0.0115
1202_1208,0.327,0.886,0.2259,0.1786,1,0.1674,0.1484
1203_1205,0.4127,1,0.2375,0.3511,0.9668,0.235,0.0616
1204_1207,0.1325,0.3606,0.0773,0.2231,1,0.2134,-0.0906
77_83,0.3335,1,0.185,0.2858,0.7643,0.1077,0.0477
78_79,0.6186,1,0.1865,0.564,0.9409,0.1204,0.0546
80_82,0.3399,0.8514,0.167,0.6129,1,0.1905,-0.273
