Unnamed: 0,trial_type_id,full_phrase,full_phrase_language,target_side,dataset_id,distractor_id,target_id,trial_type_aux_data,vanilla_trial,dataset_name,text1,image1,text2,image2,unique_pair,image_similarity,text_similarity
1,42472,Look at the ball! Do you like it?,eng,right,325,10260,10259,,1,adams_marchman_2018,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/ball3.png,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/shoe3.png,10259_10260,0.52452564,0.83144027
2,42473,Look at the ball! Do you like it?,eng,right,325,10280,10279,,1,adams_marchman_2018,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/ball1.png,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/shoe1.png,10279_10280,0.5518015,0.83144027
3,42474,Look at the ball! Do you like it?,eng,right,325,10267,10268,,1,adams_marchman_2018,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/ball4.png,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/shoe4.png,10267_10268,0.65130717,0.83144027
4,42480,Look at the ball! Do you like it?,eng,left,325,10245,10246,,1,adams_marchman_2018,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/ball2.png,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/shoe2.png,10245_10246,0.66188824,0.83144027
5,42481,Look at the ball! Do you like it?,eng,left,325,10242,10241,,1,adams_marchman_2018,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/ball1.png,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/shoe1.png,10241_10242,0.5426703,0.83144027
6,42482,Look at the ball! Do you like it?,eng,left,325,10273,10274,,1,adams_marchman_2018,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/ball3.png,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/shoe3.png,10273_10274,0.52484536,0.83144027
7,42487,See the birdie? Can you find it?,eng,right,325,10251,10252,,1,adams_marchman_2018,birdie,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/birdy2.png,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/kitty2.png,10251_10252,0.6869144,0.8702859
8,42488,See the birdie? Can you find it?,eng,right,325,10248,10247,,1,adams_marchman_2018,birdie,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/birdy1.png,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/kitty1.png,10247_10248,0.6786477,0.8702859
9,42489,See the birdie? Can you find it?,eng,right,325,10271,10272,,1,adams_marchman_2018,birdie,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/birdy3.png,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/kitty3.png,10271_10272,0.61859995,0.8702859
10,42491,See the birdie? Can you find it?,eng,left,325,10262,10261,,1,adams_marchman_2018,birdie,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/birdy4.png,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/kitty4.png,10261_10262,0.6471535,0.8702859
